ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
3480,Alternate Sprinter Lunge,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3481,Split Sprinter Low Lunge,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3482,Split Sprinter High Lunge,Strength,"Hips, Thighs",Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Hamstrings, Soleus",,,strength
3483,Around the World Superman Hold,Strength,Hips,Body weight,Male,,,,,strength
3484,Elbow to Knee Sit-up,Strength,Waist,Body weight,Male,Obliques,Rectus Abdominis,,,strength
3485,Inverted Row with Bent Knee between Chairs,Strength,Back,Body weight,Male,,,,,strength
3486,Inverted Chin Curl with Bent Knee between Chairs,Strength,Upper Arms,Body weight,Male,Biceps Brachii,"Brachialis, Brachioradialis",,,strength
3487,Pull-up with Bent Knee between Chairs,Strength,Back,Body weight,Male,,,,,strength
3488,Cobra Push-up,Strength,"Chest, Hips",Body weight,Male,,,,,strength
3489,Kneeling Cobra Push-up,Strength,"Chest, Hips",Body weight,Male,"Erector Spinae, Gluteus Maximus, Pectoralis Major Sternal Head","Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
3490,Decline Kneeling Push-Up on Box,Strength,Chest,Body weight,Male,,,,,strength
3491,Decline Push-up against Wall,Strength,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",,,strength
3492,Kneeling Rotational Push-Up,Strength,"Chest, Waist",Body weight,Male,,,,,strength
3493,Single Leg Low Box Squat,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3494,Single Leg Heel Touch Squat,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3495,Lying Floor Row with Bent Knee,Strength,Back,Body weight,Male,,,,,strength
3496,Lying Straight Leg Marches,Strength,"Hips, Waist",Body weight,Male,,,,,strength
3497,Sliding Floor Pulldown on Towel,Strength,Back,Body weight,Male,,,,,strength
3498,Sliding Floor Bridge Curl on Towel,Strength,"Hips, Thighs, Waist",Body weight,Male,,,,,strength
3499,Self Assisted Inverted Pullover,Strength,"Back, Waist",Body weight,Male,,,,,strength
3500,Full Squat Mobility,Strength,Thighs,Body weight,Male,,,,,strength
3501,Front Plank with Leg Lift,Strength,Hips,Body weight,Male,,,,,strength
3502,Back Forward Leg Swings,Strength,Hips,Body weight,Male,,,,,strength
3503,Elbow to Knee Side Plank Crunch,Strength,Waist,Body weight,Male,,,,,strength
3504,Standing Balance Quadriceps Stretch,Stretching,Thighs,Body weight,Male,Quadriceps,,,,mobility
3506,Bodyweight Row in Doorway,Strength,Back,Body weight,Male,,,,,strength
3507,Self Assisted Inverse Leg Curl,Strength,Thighs,Body weight,Male,,,,,strength
3509,Seated In-Out Leg Raise on Floor,Strength,Waist,Body weight,Male,,,,,strength
3510,Crunchy Frog on Floor,Strength,Waist,Body weight,Male,,,,,strength
3512,Resistance Band Upper Body Dead Bug,Strength,Waist,Resistance Bands,Male,,,,,strength
3513,Resistance Band Shoulder Stretch Behind the Back,Stretching,Shoulders,Resistance Bands,Male,,,,,mobility
3514,Single Leg Sliding Floor Bridge Curl on Towel,Strength,Thighs,Body weight,Male,,,,,strength
3515,Oblique V-up on Floor,Strength,Waist,Body weight,Male,,,,,strength
3516,Shoulder Backbend Stretch,Stretching,Shoulders,Body weight,Male,"Deltoid Anterior, Deltoid Lateral, Deltoid Posterior ","Infraspinatus, Latissimus Dorsi, Pectoralis Major Clavicular Head, Serratus Anterior, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",,,mobility
3517,Spine Backbend Stretch,Stretching,Hips,Body weight,Male,Erector Spinae,,,,mobility
3518,Band Seated Leg Extension,Strength,Thighs,Resistance Bands,Male,Quadriceps,,,,strength
3522,Kettlebell Single Leg Glute Bridge Pullover,Strength,"Back, Hips",Kettlebells,Male,"Gluteus Maximus, Latissimus Dorsi",,,,strength
3523,Glute Bridge Two Legs on Bench,Strength,Hips,Body weight,Male,,,,,strength
3525,Landmine Kneeling One Arm Shoulder Press,Strength,Shoulders,Barbells,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",,,strength
3533,Bulgarian Split Squat,Strength,"Hips, Thighs",Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
3540,Kneeling T Spine Mobility,Stretching,Stretching,Body weight,,,,mobility,Full body / dynamic mobility,mobility
3541,Dumbbell Incline Y-Raise,Strength,Shoulders,Dumbbells,Male,"Infraspinatus, Serratus Anterior, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers",,,,strength
3542,Dumbbell Incline T-Raise,Strength,Shoulders,Dumbbells,Male,Deltoid Posterior ,"Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",,,strength
3545,Dumbbell Incline Alternate Press,Strength,Chest,Dumbbells/Incline Bench,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",,,strength
3546,Dumbbell Seated Alternate Shoulder Press,Strength,Shoulders,Dumbbells,Male,,,,,strength
3548,Dumbbell Single Arm Overhead Carry,Strength,Weightlifting,Dumbbells,Male,,,,,strength
3552,Quick Feet,Aerobic,"Hips, Thighs",Body weight,Male,,,,,cardio
3553,Rotational Push-Up,Strength,"Chest, Waist",Body weight,Male,"Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Rectus Abdominis, Triceps Brachii",,,strength
3558,Lying Biceps Curl with Towel,Strength,Upper Arms,Body weight,Male,"Biceps Brachii, Brachialis",Brachioradialis,,,strength
3559,Superman Row with Towel,Strength,"Back, Hips",Body weight,Male,,,,,strength
3563,Cable One Arm Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Deltoid Posterior, Teres Major, Triceps Brachii",,,strength
3564,Seated Shoulder Flexor Depresor Retractor Stretch Bent Knee,Stretching,Shoulders,Body weight,Male,,,,,mobility
3566,Roll Upper Back,Stretching,Back,Body weight,Male,"Rhomboids, Trapezius Middle Fibers",,,,mobility
3567,Roll Recumbent Hip External Rotator and Hip Extensor Stretch (CrossedLeg),Stretching,Hips,Body weight,Male,,,,,mobility
3568,Roll Ball Piriformis Release,Stretching,Hips,Body weight,Male,,,,,strength
3569,Roll Ball Pectorial Release,Stretching,Chest,Body weight,Male,,,,,strength
3570,Roll Ball Upper Trapezius Release,Stretching,Back,Body weight,Male,,,,,strength
3571,Kettlebell Full Swing,Strength,Hips,Kettlebells,Male,,,,,strength
3572,Kettlebell Strict Press,Strength,Shoulders,Kettlebells,Male,,,,,strength
3574,Kettlebell Forward Lunge,Strength,Thighs,Kettlebells,Male,,,,,strength
3575,Kettlebell Backward Lunge,Strength,Thighs,Kettlebells,Male,,,,,strength
3576,Kettlebell Farmers Carry,Strength,Weightlifting,Kettlebells,Male,,,,,strength
3580,Kettlebell Deep Push-up,Strength,Chest,Kettlebells,Male,,,,,strength
3582,Lunge with Jump,Aerobic,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus",,,cardio
3585,Single Leg Deadlift with Knee Lift,Strength,Hips,Body weight,Male,,,,,strength
3586,Scissors (advanced),Strength,Waist,Body weight,Male,,,,,strength
3587,Weighted Single Leg Lift,Strength,Thighs,Body weight,Male,,,,,strength
3590,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Male,,,,,strength
3591,Band twist,Strength,Waist,Resistance Bands,Male,,,,,strength
3606,Leg Extension Crunch (with Stability Ball),Strength,"Thighs, Waist",Stability (Swiss) Ball,Male,,,,,strength
3621,Twisting Crunch (Straight Arms),Strength,Waist,Body weight,Male,,,,,strength
3622,V-up,Strength,"Hips, Waist",Body weight,Male,,,,,strength
3630,Standing Hamstrings and Back Stretch,Stretching,Stretching,Body weight,,,,static,Lower body,mobility
3639,Bent knee Lying Twist,Strength,Hips,Body weight,Male,Gluteus Medius,"Obliques, Tensor Fasciae Latae",,,strength
3640,Knee Touch Crunch,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,,,strength
3642,Weighted Stretch Lunge,Stretching,"Hips, Thighs",Body weight,Male,,,,,mobility
3644,Weighted Lunge with Swing,Strength,"Shoulders, Thighs",Body weight,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps","Adductor Magnus, Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Soleus",,,strength
