ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
4181,Weighted Hang Chin-up,Strength,Back,Weighted,Male,,,,,strength
4187,EZ Barbell Legs Side Pull In Sit-up,Strength,Waist,EZ Barbell,Male,,,,,strength
4189,EZ Bar Knelling Rollout,Strength,Waist,EZ Barbell,Male,,,,,strength
4193,Cable Half Kneeling Pallof Press,Strength,Waist,Cable,Male,,,,,strength
4195,Resistance Band Half Kneeling Face Pull,Strength,Shoulders,Resistance Band,Male,,,,,strength
4200,Fly agains Chains,Strength,Chest,Body weight,Male,,,,,strength
4201,Barbell Bench Press against Chains,Strength,Chest,Barbell,Male,,,,,strength
4204,Resistance Band Assisted Nordic Hamstring Curl,Strength,Thighs,Resistance Band,Male,,,,,strength
4205,Band Assisted Dip,Strength,Back,Band,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,strength
4206,Band Assisted Chin-Up (From Knee),Strength,Back,Band,Male,,,,,strength
4212,One Leg Star Balance,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4214,Lever Low Row (plate loaded),Strength,Back,Leverage machine,Male,,,,,strength
4215,Lever One Arm Low Row (plate loaded),Strength,Back,Leverage machine,Male,,,,,strength
4218,Safety Bar Front Squat,Strength,Thighs,Body weight,Male,,,,,strength
4229,Assault Run,Aerobic,Cardio,Body weight,Male,,,,,cardio
4237,Dumbbell Seated Close Grip Press,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",,,strength
4240,Resistance Band Horizontal Pallof Press,Strength,Waist,Resistance Band,Male,,,,,strength
4243,Medicine Ball Overhead Throw,Aerobic,Plyometrics,Medicine Ball,Male,,,,,strength
4244,Kettlebell Overhead Carry,Strength,Thighs,Kettlebell,Male,,,,,strength
4245,Single Leg Board Jump,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4246,Landmine Front Squat,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
4247,Landmine Romanian Deadlift (VERSION 2),Strength,Hips,Barbell,Male,,,,,strength
4248,Dumbbell Straight Arm Crunch,Strength,Waist,Dumbbell,Male,,,,,strength
4249,Dumbbell Straight Leg Russian Twist,Strength,Waist,Dumbbell,Male,,,,,strength
4250,Dumbbell V-up,Strength,Waist,Dumbbell,Male,"Iliopsoas, Rectus Abdominis","Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae",,,strength
4251,Dumbbell Straight Arm Twisting Sit-up,Strength,Waist,Dumbbell,Male,,,,,strength
4252,Weighted Crunch,Strength,Waist,Weighted,Male,Rectus Abdominis,Obliques,,,strength
4254,Single Leg Vertical Jump,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4257,Shuffle,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4279,Boat Stretch (male),Stretching,Waist,Body weight,Male,,,,,mobility
4280,Ceiling Look Stretch (male),Stretching,Thighs,Body weight,Male,,,,,mobility
4282,Feet and Ankles Stretch (male),Stretching,Calves,Body weight,Male,,,,,mobility
4283,Feet and Ankles Rotation Stretch (male),Stretching,Calves,Body weight,Male,,,,,mobility
4286,Hip Circles Stretch (male),Stretching,Hips,Body weight,Male,,,,,mobility
4287,Knee Raise,Strength,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps",,,,strength
4288,Middle Back Stretch,Stretching,Waist,Body weight,Male,Obliques,Iliopsoas,,,mobility
4290,Dumbbell Static Lunge,Strength,Thighs,Dumbbell,Male,"Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Pectineous, Soleus",,,strength
4291,Dumbbell Single Leg Glute Bridge,Strength,Hips,Dumbbell,Male,,,,,strength
4292,Dumbbell Lying Hamstring Curl,Strength,Thighs,Dumbbell,Male,Hamstrings,Gastrocnemius,,,strength
4293,Dumbbell Straight Legs Deadlift,Strength,Hips,Dumbbell,Male,,,,,strength
4294,Bodyweight Overhead Squat,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
4296,Crossover Kneeling Hip Flexor Stretch (male),Stretching,"Hips, Thighs",Body weight,Male,,,,,mobility
4299,Quadriceps lying stretch (male),Stretching,Thighs,Body weight,Male,,,,,mobility
4300,Quadriceps stretch (male),Stretching,Thighs,Body weight,Male,,,,,mobility
4307,Seated Twist (Straight Arm),Strength,Waist,Body weight,Male,Obliques,Rectus Abdominis,,,strength
4309,Single Leg Stretch (bent knee) (male),Stretching,Waist,Body weight,Male,,,,,mobility
4310,Single Straight  Leg Stretch (male),Stretching,Thighs,Body weight,Male,,,,,mobility
4312,Slopes Towards Stretch (male),Stretching,Back,Body weight,Male,,,,,mobility
4314,Spinal Stretch (on stability ball) (male),Stretching,"Hips, Waist",Body weight,Male,,,,,mobility
4315,Spine Stretch Forward (male),Stretching,Hips,Body weight,Male,,,,,mobility
4318,Dumbbell Pullover on floor,Strength,Back,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Teres Major, Triceps Brachii",,,strength
4322,Standing Side Bend (bent arm) (male),Strength,Waist,Body weight,Male,,,,,strength
4328,Standing Scissors,Aerobic,Plyometrics,Body weight,Male,,,,,cardio
4332,Crunch Hold with Legs on Bench,Strength,Waist,Body weight,Male,,,,,strength
4333,Bench Reverse Crunch Circle,Strength,Waist,Body weight,Male,,,,,strength
4336,Lever Biceps Curl,Strength,Upper Arms,Leverage machine,Male,,,,,strength
4339,Barbell Pullover,Strength,Back,Barbell,Male,,,,,strength
4344,Barbell Incline Triceps Extension Skull Crusher,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,,,strength
4346,Bodyweight Standing Military Press,Strength,Shoulders,Body weight,Male,,,,,strength
4349,Barbell Single Leg Squat,Strength,Thighs,Barbell,Male,,,,,strength
4351,Cable Incline Skull Crusher,Strength,Upper Arms,Cable,Male,,,,,strength
4353,Cable Lying Triceps Extension (with Rope),Strength,Upper Arms,Cable,Male,,,,,strength
4354,Alternate Oblique Crunch,Strength,Waist,Body weight,Male,,,,,strength
4358,Band Knelling Lat Pulldown,Strength,Back,Band,Male,,,,,strength
4362,Barbell Squat 2 sec Hold,Strength,Thighs,Barbell,Male,,,,,strength
4363,Counterbalanced Skater Squat (male),Strength,Thighs,Body weight,Male,,,,,strength
4364,Single Leg Dip on floor,Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,strength
4365,Animal Resting Yoga Pose,Stretching,Stretching,Body weight,Male,,,,,mobility
4367,Cable Bent-Over Reverse Grip Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
4370,Smith Seated Calf Raise,Strength,Calves,Calf Raise Machine,Male,,,,,strength
4372,Crocodile Yoga Pose,Stretching,Stretching,Body weight,,,,static,Full body / dynamic mobility,mobility
4373,Hanging Deadbug,Strength,Hips,Body weight,Male,"Iliopsoas, Rectus Abdominis","Quadriceps, Sartorius, Tensor Fasciae Latae",,,strength
4376,Handstand Walk,Aerobic,Shoulders,Body weight,Male,"Deltoid Anterior, Deltoid Lateral, Deltoid Posterior , Erector Spinae",,,,cardio
4378,Lever Reverse Grip High Row (plate loaded),Strength,Back,Leverage machine,Male,,,,,strength
4380,Standing Leg Slide with Towel,Strength,Thighs,Body weight,Male,,,,,strength
4383,Medicine Ball Step Behind Rotational Throw,Aerobic,Plyometrics,Medicine Ball,Male,,,,,strength
4384,Body Saw Plank,Strength,Shoulders,Body weight,Male,"Latissimus Dorsi, Rectus Abdominis","Deltoid Anterior, Gluteus Maximus, Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Serratus Anterior, Tensor Fasciae Latae, Triceps Brachii",,,strength
4385,Hip Roll Plank (male),Stretching,Waist,Body weight,Male,,,,,strength
4386,Leg Extension Plank,Strength,Waist,Body weight,Male,,,,,strength
4387,Prayer Squat Yoga Pose,Stretching,Stretching,Body weight,Male,,,,,mobility
4388,Prisoner Get-Up,Strength,Thighs,Body weight,Male,,,,,strength
4389,Dumbbell Push Jerk,Strength,Weightlifting,Dumbbell,Male,,,,,strength
4393,Kettlebell Russian Twist,Strength,Waist,Kettlebell,Male,,,,,strength
4394,Alternating Shoulder Flexion Back to Wall (Y Raise),Strength,Shoulders,Body weight,Male,,,,,strength
4406,Tiger Yoga Pose,Stretching,Stretching,Body weight,Male,,,,,mobility
4408,Kettlebell Upright Row,Strength,Shoulders,Kettlebell,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",,,strength
4416,Sliding Leg Bird Dog,Strength,"Back, Hips",Body weight,Male,"Gluteus Maximus, Latissimus Dorsi, Rectus Abdominis, Teres Major","Deltoid Anterior, Hamstrings, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Serratus Anterior",,,strength
4417,Sumo Squat Floor Touch,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
4418,Step Jack (male),Aerobic,Plyometrics,Body weight,Male,,,,,strength
4419,Lying Leg Raise (Modified),Strength,"Hips, Waist",Body weight,Male,,,,,strength
4420,Marching On Spot,Aerobic,Cardio,Body weight,Male,,,,,strength
4423,Barbell Lying Close-Grip Underhand Row on Rack,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior",,,strength
4428,Power Sled Push,Strength,Weightlifting,Power Sled,Male,,,,,strength
4433,Side Punch with Opposite Leg Lift,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4434,Stepback with Hands Raise,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4435,High Knee Squat (VERSION 2) (male),Aerobic,Plyometrics,Body weight,Male,,,,,strength
4436,Alternating Step Out,Aerobic,Plyometrics,Body weight,Male,,,,,strength
